Name,Layers,Material,Thickness(ft),Conductivity,Density,SpecificHeat,Layer_R_Value
Reinforce_Concrete_200_EPS75[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_EPS75[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_EPS75[ENS],L3,EPS,0.246062992,0.0219564,1.74804,0.289720198,11.20689148
Reinforce_Concrete_200_EPS75[ENS],L4,RCC,0.492125984,0.912924,142.83984,0.21018448,0.539065666
Reinforce_Concrete_200_EPS75[ENS],L5,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_EPS100[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200_EPS100[ENS],L2,BrkTile,0.246062992,0.4610844,118.11756,0.21018448,0.533661499
Reinforce_Concrete_200_EPS100[ENS],L3,EPS,0.246062992,0.0219564,1.74804,0.289720198,11.20689148
Reinforce_Concrete_200_EPS100[ENS],L4,RCC,0.492125984,0.912924,142.83984,0.21018448,0.539065666
Reinforce_Concrete_200_EPS100[ENS],L5,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
