Location_ID,Country,Sim_location,Weather_file,Ashrae Climate Zone,NBC Climate,Same_City_Weather_file,,
L327,United States of America,Brunswick,GA_Brunswick_Golden_Is,Very Hot Humid,,,,
L328,United States of America,Brunswick,GA_Brunswick_Malcolm_Mcki,Very Hot Humid,,,,
L329,United States of America,Columbus,GA_Columbus_Metropolitan,Very Hot Humid,,,,
L330,United States of America,Atlanta,GA_Dekalb_Peachtree,Very Hot Humid,,,,
L331,United States of America,Fort Benning,GA_Fort_Benning_Lawson,Very Hot Humid,,,,
L332,United States of America,Atlanta,GA_Fulton_Co_Arpt_Brow,Very Hot Humid,,,,
L333,United States of America,Savannah,GA_Hunter_AAF,Very Hot Humid,,,,
L334,United States of America,Macon,GA_Macon_Middle_Ga_Region,Very Hot Humid,,,,
L335,United States of America,Marietta,GA_Marietta_Dobbins_AFB,Very Hot Humid,,,,
L336,United States of America,Valdosta,GA_Moody_AFB-Valdosta,Very Hot Humid,,,,
L337,United States of America,Rome,GA_Rome_R_B_Russell_AP,Very Hot Humid,,,,
L338,United States of America,Savannah,GA_Savannah_Intl_AP,Very Hot Humid,,,,
L339,United States of America,Valdosta,GA_Valdosta_Wb_Airport,Very Hot Humid,,,,
L340,United States of America,Warner Robins,GA_Warner_Robins_AFB,Very Hot Humid,,,,
L341,United States of America,Yigo,GU_Andersen_AFB,Very Hot Humid,,,,
L342,United States of America,Guam,GU_Guam_WFO,Very Hot Humid,,,,
L343,United States of America,Kapolei,HI_Barbers_Point_NAS,Very Hot Humid,,,,
L344,United States of America,Hilo,HI_Hilo_International_AP,Very Hot Humid,,,,
L345,United States of America,Honolulu,HI_Honolulu_Intl_Arpt,Very Hot Humid,,,,
L346,United States of America,Kahului,HI_Kahului_Airport,Very Hot Humid,,,,
L347,United States of America,Kaneohe,HI_Kaneohe_Bay_MCAS,Very Hot Humid,,,,
L348,United States of America,Kapalua,HI_Kapalua,Very Hot Humid,,,,
L349,United States of America,Kona,HI_Kona_Intl_At_Keahol,Very Hot Humid,,,,
L350,United States of America,Lanai,HI_Lanai,Very Hot Humid,,,,
L351,United States of America,Lihue,HI_Lihue_Airport,Very Hot Humid,,,,
L352,United States of America,Molokai,HI_Molokai_(AMOS),Very Hot Humid,,,,
L353,United States of America,Algona,IA_Algona,Very Hot Humid,,,,
L354,United States of America,Atlantic,IA_Atlantic,Very Hot Humid,,,,
L355,United States of America,Boone,IA_Boone_Muni,Very Hot Humid,,,,
L356,United States of America,Burlington,IA_Burlington_Municipal_A,Very Hot Humid,,,,
L357,United States of America,Carroll,IA_Carroll,Very Hot Humid,,,,
L358,United States of America,Cedar Rapids,IA_Cedar_Rapids_Municipal,Very Hot Humid,,,,
L359,United States of America,Chariton,IA_Chariton,Very Hot Humid,,,,
L360,United States of America,Charles City,IA_Charles_City,Very Hot Humid,,,,
L361,United States of America,Clarinda,IA_Clarinda,Very Hot Humid,,,,
L362,United States of America,Clinton,IA_Clinton_Muni_(AWOS),Very Hot Humid,,,,
L363,United States of America,Council Bluffs,IA_Council_Bluffs,Very Hot Humid,,,,
L364,United States of America,Creston,IA_Creston,Very Hot Humid,,,,
L365,United States of America,Decorah,IA_Decorah,Very Hot Humid,,,,
L366,United States of America,Denison,IA_Denison,Very Hot Humid,,,,
L367,United States of America,Des Moines,IA_Des_Moines_Intl_AP,Very Hot Humid,,,,
L368,United States of America,Dubuque,IA_Dubuque_Regional_AP,Very Hot Humid,,,,
L369,United States of America,Estherville,IA_Estherville_Muni,Very Hot Humid,,,,
L370,United States of America,Fairfield,IA_Fair_Field,Very Hot Humid,,,,
L371,United States of America,Fort Dodge,IA_Fort_Dodge_(AWOS),Very Hot Humid,,,,
L372,United States of America,Fort Madison,IA_Fort_Madison,Very Hot Humid,,,,
L373,United States of America,Keokuk,IA_Keokuk_Muni,Very Hot Humid,,,,
L374,United States of America,Knoxville,IA_Knoxville,Very Hot Humid,,,,
L375,United States of America,Le Mars,IA_Le_Mars,Very Hot Humid,,,,
L376,United States of America,Mason City,IA_Mason_City_Municipal_A,Very Hot Humid,,,,
L377,United States of America,Monticello,IA_Monticello_Muni,Very Hot Humid,,,,
L378,United States of America,Muscatine,IA_Muscatine,Very Hot Humid,,,,
L379,United States of America,Newton,IA_Newton_Muni,Very Hot Humid,,,,
L380,United States of America,Oelwein,IA_Oelwen,Very Hot Humid,,,,
L381,United States of America,Orange City,IA_Orange_City,Very Hot Humid,,,,
L382,United States of America,Ottumwa,IA_Ottumwa_Industrial_AP,Very Hot Humid,,,,
L383,United States of America,Red Oak,IA_Red_Oak,Very Hot Humid,,,,
L384,United States of America,Sheldon,IA_Sheldon,Very Hot Humid,,,,
L385,United States of America,Shenandoah,IA_Shenandoah_Muni,Very Hot Humid,,,,
L386,United States of America,Sioux City,IA_Sioux_City_Sioux_Gatew,Very Hot Humid,,,,
L387,United States of America,Spencer,IA_Spencer,Very Hot Humid,,,,
L388,United States of America,Storm Lake,IA_Storm_Lake,Very Hot Humid,,,,
L389,United States of America,Washington,IA_Washington,Very Hot Humid,,,,
L390,United States of America,Waterloo,IA_Waterloo_Municipal_AP,Very Hot Humid,,,,
L391,United States of America,Webster City,IA_Webster_City,Very Hot Humid,,,,
L392,United States of America,Boise,ID_Boise_Air_Terminal,Very Hot Humid,,,,
L393,United States of America,Burley,ID_Burley_Municipal_Arpt,Very Hot Humid,,,,
L394,United States of America,Caldwell,ID_Caldwell_(AWOS),Very Hot Humid,,,,
L395,United States of America,Coeur d'Alene,ID_Coeur_D%60ALENE(AWOS),Very Hot Humid,,,,
L396,United States of America,Hailey,ID_Hailey_Friedman_Mem,Very Hot Humid,,,,
L397,United States of America,Idaho Falls,ID_Idaho_Falls_Fanning_Fi,Very Hot Humid,,,,
L398,United States of America,Twin Falls ,ID_Joslin_Fld_Magic_Va,Very Hot Humid,,,,
L399,United States of America,Lewiston,ID_Lewiston_Nez_Perce_Cnt,Very Hot Humid,,,,
L400,United States of America,Malad City,ID_Malad_City,Very Hot Humid,,,,
L401,United States of America,Mountain Home,ID_Mountain_Home_AFB,Very Hot Humid,,,,
L402,United States of America,Pocatello,ID_Pocatello_Regional_AP,Very Hot Humid,,,,
L403,United States of America,Salmon Lemhi,ID_Salmon_Lemhi_(AWOS),Very Hot Humid,,,,
L404,United States of America,Soda Springs,ID_Soda_Springs_Tigert,Very Hot Humid,,,,
L405,United States of America,Aurora,IL_Aurora_Municipal,Very Hot Humid,,,,
L406,United States of America,Belleville Scott,IL_Belleville_Scott_AFB,Very Hot Humid,,,,
L407,United States of America,Cahokia,IL_Cahokia_St._Louis,Very Hot Humid,,,,
L408,United States of America,Illinois Rg,IL_Central_Illinois_Rg,Very Hot Humid,,,,
L410,United States of America,Chicago,IL_Chicago_Ohare_Intl_AP,Very Hot Humid,,IL_Chicago_Midway_AP,,
L412,United States of America,Decatur,IL_Decatur,Very Hot Humid,,,,
L413,United States of America,Marion,IL_Marion_Regional,Very Hot Humid,,,,
L414,United States of America,Moline Quad,IL_Moline_Quad_City_Intl,Very Hot Humid,,,,
L415,United States of America,Mount Vernon,IL_Mount_Vernon_(AWOS),Very Hot Humid,,,,
L416,United States of America,Peoria,IL_Peoria_Greater_Peoria,Very Hot Humid,,,,
L417,United States of America,Quincy Muni,IL_Quincy_Muni_Baldwin_Fl,Very Hot Humid,,,,
L418,United States of America,Rockford,IL_Rockford_Greater_Rockf,Very Hot Humid,,,,
L419,United States of America,Southern Illinois,IL_Southern_Illinois,Very Hot Humid,,,,
L420,United States of America,Springfield,IL_Springfield_Capital_Ap,Very Hot Humid,,,,
L421,United States of America,Sterling,IL_Sterling_Rockfalls,Very Hot Humid,,,,
L422,United States of America,Champaign,IL_Univ_Of_Illinois_Wi,Very Hot Humid,,,,
L423,United States of America,Chicago,IL_W._Chicago_Du_Page,Very Hot Humid,,,,
L424,United States of America,Delaware,IN_Delaware_Co_Johnson,Very Hot Humid,,,,
L425,United States of America,Evansville,IN_Evansville_Regional_Ap,Very Hot Humid,,,,
L426,United States of America,Fort Wayne,IN_Fort_Wayne_Intl_AP,Very Hot Humid,,,,
L427,United States of America,Grissom,IN_Grissom_Arb,Very Hot Humid,,,,
L428,United States of America,Huntingburg,IN_Huntingburg,Very Hot Humid,,,,
L429,United States of America,Indianapolis,IN_Indianapolis_Intl_AP,Very Hot Humid,,,,
L430,United States of America,Lafayette,IN_Lafayette_Purdue_Univ,Very Hot Humid,,,,
L431,United States of America,Monroe,IN_Monroe_Co,Very Hot Humid,,,,
L432,United States of America,South Bend,IN_South_Bend_Michiana_Rg,Very Hot Humid,,,,
L433,United States of America,Terre Haute,IN_Terre_Haute_Hulman_Reg,Very Hot Humid,,,,
L434,United States of America,Chanute,KS_Chanute_Martin_Johnson,Very Hot Humid,,,,
L435,United States of America,Concordia,KS_Concordia_Blosser_Muni,Very Hot Humid,,,,
L436,United States of America,Dodge City,KS_Dodge_City_Regional_Ap,Very Hot Humid,,,,
L437,United States of America,Emporia ,KS_Emporia_Municipal_AP,Very Hot Humid,,,,
L438,United States of America,Fort Riley ,KS_Fort_Riley_Marshall_Aa,Very Hot Humid,,,,
L439,United States of America,Garden City,KS_Garden_City_Municipal,Very Hot Humid,,,,
L440,United States of America,Goodland ,KS_Goodland_Renner_Field,Very Hot Humid,,,,
L441,United States of America,Great Bend,KS_Great_Bend_(AWOS),Very Hot Humid,,,,
L442,United States of America,Hays Muni,KS_Hays_Muni_(AWOS),Very Hot Humid,,,,
L443,United States of America,Hill City,KS_Hill_City_Municipal_Ap,Very Hot Humid,,,,
L444,United States of America,Hutchinson,KS_Hutchinson_Municipal_A,Very Hot Humid,,,,
L445,United States of America,Liberal,KS_Liberal_Muni,Very Hot Humid,,,,
L446,United States of America,Manhattan,KS_Manhattan_Rgnl,Very Hot Humid,,,,
L447,United States of America,Mcconnell,KS_Mcconnell_AFB,Very Hot Humid,,,,
L448,United States of America,Newton,KS_Newton_(AWOS),Very Hot Humid,,,,
L449,United States of America,Olathe,KS_Olathe_Johnson_Co.,Very Hot Humid,,,,
L450,United States of America,Olathe,KS_Olathe_Johnson_Co_Indu,Very Hot Humid,,,,
L451,United States of America,Russell,KS_Russell_Municipal_AP,Very Hot Humid,,,,
L452,United States of America,Salina,KS_Salina_Municipal_AP,Very Hot Humid,,,,
L453,United States of America,Topeka,KS_Topeka_Forbes_Field,Very Hot Humid,,,,
L454,United States of America,Topeka,KS_Topeka_Municipal_AP,Very Hot Humid,,,,
L455,United States of America,Wichita,KS_Wichita_Col._Jabara,Very Hot Humid,,,,
L456,United States of America,Wichita,KS_Wichita_Mid-Continent,Very Hot Humid,,,,
L457,United States of America,Bowling Green,KY_Bowling_Green_Warren_C,Very Hot Humid,,,,
L458,United States of America,Cincinnati,KY_Cincinnati_Northern_Ky,Very Hot Humid,,,,
L459,United States of America,Fort Campbell,KY_Fort_Campbell_AAF,Very Hot Humid,,,,
L460,United States of America,Fort Knox ,KY_Fort_Knox_Godman_AAF,Very Hot Humid,,,,
L461,United States of America,Henderson,KY_Henderson_City,Very Hot Humid,,,,
L462,United States of America,Jackson,KY_Jackson_Julian_Carroll,Very Hot Humid,,,,
L463,United States of America,Lexington,KY_Lexington_Bluegrass_Ap,Very Hot Humid,,,,
L464,United States of America,London,KY_London-Corbin_AP,Very Hot Humid,,,,
L466,United States of America,Louisville,KY_Louisville_Standiford,Very Hot Humid,,KY_Louisville_Bowman_Fiel,,
L467,United States of America,Paducah,KY_Paducah_Barkley_Region,Very Hot Humid,,,,
L468,United States of America,Somerset,KY_Somerset(AWOS),Very Hot Humid,,,,
L469,United States of America,Alexandria,LA_Alexandria_Esler_Regio,Very Hot Humid,,,,
L470,United States of America,Shreveport,LA_Barksdale_AFB,Very Hot Humid,,,,
L471,United States of America,Baton Rouge,LA_Baton_Rouge_Ryan_Arpt,Very Hot Humid,,,,
L472,United States of America,England,LA_England_AFB,Very Hot Humid,,,,
L473,United States of America,Leesville,LA_Fort_Polk_AAF,Very Hot Humid,,,,
L474,United States of America,Houma,LA_Houma-Terrebonne,Very Hot Humid,,,,
L475,United States of America,Lafayette,LA_Lafayette_Regional_AP,Very Hot Humid,,,,
L477,United States of America,Lake Charles,LA_Lake_Charles_Wb_Airp,Very Hot Humid,,LA_Lake_Charles_Regional,,
L478,United States of America,Monroe,LA_Monroe_Regional_AP,Very Hot Humid,,,,
L479,United States of America,New Iberia,LA_New_Iberia_Naas,Very Hot Humid,,,,
L481,United States of America,New Orleans,LA_New_Orleans_Intl_Arpt,Very Hot Humid,,LA_New_Orleans_Lakefront,LA_New_Orleans_Alvin_Call,
L483,United States of America,Patterson,LA_Patterson_Memorial,Very Hot Humid,,,,
L484,United States of America,Shreveport,LA_Shreveport_Downtown,Very Hot Humid,,LA_Shreveport_Regional_Ar,,
L486,United States of America,Barnstable,MA_Barnstable_Muni_Boa,Very Hot Humid,,,,
L487,United States of America,Beverly,MA_Beverly_Muni,Very Hot Humid,,,,
L488,United States of America,Boston,MA_Boston_Logan_Intl_Arp,Very Hot Humid,,,,
L489,United States of America,Chicopee,MA_Chicopee_Falls_Westo,Very Hot Humid,,,,
L490,United States of America,Lawrence,MA_Lawrence_Muni,Very Hot Humid,,,,
L491,United States of America,West Tisbury,MA_Marthas_Vineyard,Very Hot Humid,,,,
L492,United States of America,Nantucket,MA_Nantucket_Memorial_AP,Very Hot Humid,,,,
L493,United States of America,New Bedford,MA_New_Bedford_Rgnl,Very Hot Humid,,,,
L494,United States of America,North Adams,MA_North_Adams,Very Hot Humid,,,,
L495,United States of America,Norwood,MA_Norwood_Memorial,Very Hot Humid,,,,
L496,United States of America,Otis,MA_Otis_Angb,Very Hot Humid,,,,
L497,United States of America,Plymouth,MA_Plymouth_Municipal,Very Hot Humid,,,,
L498,United States of America,Provincetown ,MA_Provincetown_(AWOS),Very Hot Humid,,,,
L499,United States of America,Westfield,MA_Westfield_Barnes_Muni,Very Hot Humid,,,,
L500,United States of America,Worchester,MA_Worchester_Regional_Ar,Very Hot Humid,,,,
L501,United States of America,Camp Springs,MD_Andrews_AFB,Very Hot Humid,,,,
L502,United States of America,Baltimore,MD_Baltimore_Blt-Washngtn,Very Hot Humid,,,,
L503,United States of America,Hagerstown,MD_Hagerstown_Rgnl_Ric,Very Hot Humid,,,,
L504,United States of America,Patuxent,MD_Patuxent_River_NAS,Very Hot Humid,,,,
L505,United States of America,Salisbury,MD_Salisbury_Wicomico_Co,Very Hot Humid,,,,
L506,United States of America,Auburn,ME_Auburn-Lewiston,Very Hot Humid,,,,
L507,United States of America,Augusta,ME_Augusta_Airport,Very Hot Humid,,,,
L508,United States of America,Bangor,ME_Bangor_International_A,Very Hot Humid,,,,
L509,United States of America,Bar Harbor,ME_Bar_Harbor_(AWOS),Very Hot Humid,,,,
L510,United States of America,Caribou,ME_Caribou_Municipal_Arpt,Very Hot Humid,,,,
L511,United States of America,Houlton,ME_Houlton_Intl_Arpt,Very Hot Humid,,,,
L512,United States of America,Millinocket,ME_Millinocket_Municipal,Very Hot Humid,,,,
L513,United States of America,Naval,ME_Naval_Air_Station,Very Hot Humid,,,,
L514,United States of America,Aroostook,ME_Northern_Aroostook,Very Hot Humid,,,,
L515,United States of America,Portland,ME_Portland_Intl_Jetport,Very Hot Humid,,,,
L516,United States of America,Presque Isle,ME_Presque_Isle_Municip,Very Hot Humid,,,,
L517,United States of America,Rockland,ME_Rockland_Knox(AWOS),Very Hot Humid,,,,
L518,United States of America,Sanford,ME_Sanford_Muni_(AWOS),Very Hot Humid,,,,
L519,United States of America,Waterville,ME_Waterville_(AWOS),Very Hot Humid,,,,
L520,United States of America,Wiscasset,ME_Wiscasset,Very Hot Humid,,,,
L521,United States of America,Alpena,MI_Alpena_County_Regional,Very Hot Humid,,,,
L522,United States of America,Ann Arbor,MI_Ann_Arbor_Municipal,Very Hot Humid,,,,
L523,United States of America,Battle Creek,MI_Battle_Creek_Kellogg_A,Very Hot Humid,,,,
L524,United States of America,Benton Harbor ,MI_Benton_Harbor_Ross,Very Hot Humid,,,,
L525,United States of America,Cadillac ,MI_Cadillac_Wexford_Co_Ap,Very Hot Humid,,,,
L526,United States of America,Chippewa ,MI_Chippewa_Co_Intl,Very Hot Humid,,,,
L527,United States of America,Detroit,MI_Detroit_City_Airport,Very Hot Humid,,,,
L528,United States of America,Detroit,MI_Detroit_Metropolitan_A,Very Hot Humid,,,,
L529,United States of America,Detroit ,MI_Detroit_Willow_Run_AP,Very Hot Humid,,,,
L530,United States of America,Escanaba,MI_Escanaba_(AWOS),Very Hot Humid,,,,
L531,United States of America,Flint,MI_Flint_Bishop_Intl_Arpt,Very Hot Humid,,,,
L532,United States of America,Grand Rapids,MI_Grand_Rapids_Kent_Coun,Very Hot Humid,,,,
L533,United States of America,Hancock,MI_Hancock_Houghton_Co_Ap,Very Hot Humid,,,,
L534,United States of America,Houghton,MI_Houghton_Lake_Roscommo,Very Hot Humid,,,,
L535,United States of America,Howell,MI_Howell,Very Hot Humid,,,,
L536,United States of America,Iron Mountain,MI_Iron_Mountain_Ford,Very Hot Humid,,,,
L537,United States of America,Ironwood,MI_Ironwood_(AWOS),Very Hot Humid,,,,
L538,United States of America,Jackson,MI_Jackson_Reynolds_Field,Very Hot Humid,,,,
L539,United States of America,Kalamazoo,MI_Kalamazoo_Battle_Cr,Very Hot Humid,,,,
L540,United States of America,Lansing,MI_Lansing_Capital_City_A,Very Hot Humid,,,,
L541,United States of America,Manistee,MI_Manistee_(AWOS),Very Hot Humid,,,,
L542,United States of America,Menominee,MI_Menominee_(AWOS),Very Hot Humid,,,,
L543,United States of America,Mount Clemens,MI_Mount_Clemens_Selfridg,Very Hot Humid,,,,
L544,United States of America,Muskegon,MI_Muskegon_County_Arpt,Very Hot Humid,,,,
L545,United States of America,Oakland,MI_Oakland_Co_Intl,Very Hot Humid,,,,
L546,United States of America,Oscoda,MI_Oscoda_Wurtsmith_AFB,Very Hot Humid,,,,
L547,United States of America,Pellston,MI_Pellston_Emmet_County,Very Hot Humid,,,,
L548,United States of America,Saginaw,MI_Saginaw_Tri_City_Intl,Very Hot Humid,,,,
L549,United States of America,Sault Ste. Marie,MI_Sault_Ste_Marie_Sander,Very Hot Humid,,,,
L550,United States of America,St. Clair,MI_St.CLAIR_County_Int,Very Hot Humid,,,,
L551,United States of America,Traverse City,MI_Traverse_City_Cherry_C,Very Hot Humid,,,,
L552,United States of America,Aitkin,MN_Aitkin_Ndb(AWOS),Very Hot Humid,,,,
L553,United States of America,Albert Lea,MN_Albert_Lea_(AWOS),Very Hot Humid,,,,
L554,United States of America,Alexandria,MN_Alexandria_Municipal_A,Very Hot Humid,,,,
L555,United States of America,Austin,MN_Austin_Muni,Very Hot Humid,,,,
L556,United States of America,Baudette,MN_Baudette_International,Very Hot Humid,,,,
L557,United States of America,Bemidji,MN_Bemidji_Municipal,Very Hot Humid,,,,
L558,United States of America,Benson,MN_Benson_Muni,Very Hot Humid,,,,
L559,United States of America,Brainerd,MN_Brainerd_Wieland,Very Hot Humid,,,,
L560,United States of America,Cambridge,MN_Cambridge_Muni,Very Hot Humid,,,,
L561,United States of America,Cloquet,MN_Cloquet_(AWOS),Very Hot Humid,,,,
L562,United States of America,Crane Lake,MN_Crane_Lake_(AWOS),Very Hot Humid,,,,
L563,United States of America,Crookston,MN_Crookston_Muni_Fld,Very Hot Humid,,,,
L564,United States of America,Detroit Lakes,MN_Detroit_Lakes(AWOS),Very Hot Humid,,,,
L565,United States of America,Duluth,MN_Duluth_International_A,Very Hot Humid,,,,
L566,United States of America,Ely,MN_Ely_Muni,Very Hot Humid,,,,
L567,United States of America,Eveleth,MN_Eveleth_Muni_(AWOS),Very Hot Humid,,,,
L568,United States of America,Fairmont,MN_Fairmont_Muni(AWOS),Very Hot Humid,,,,
L569,United States of America,Faribault,MN_Faribault_Muni_Awos,Very Hot Humid,,,,
L570,United States of America,Fergus Falls,MN_Fergus_Falls(AWOS),Very Hot Humid,,,,
L571,United States of America,Flying Cloud,MN_Flying_Cloud,Very Hot Humid,,,,
L572,United States of America,Fosston,MN_Fosston(AWOS),Very Hot Humid,,,,
L573,United States of America,Glenwood,MN_Glenwood_(ASOS),Very Hot Humid,,,,
L574,United States of America,Grand Rapids,MN_Grand_Rapids(AWOS),Very Hot Humid,,,,
L575,United States of America,Hallock,MN_Hallock,Very Hot Humid,,,,
L576,United States of America,Hibbing,MN_Hibbing_Chisholm-Hibbi,Very Hot Humid,,,,
L577,United States of America,Hutchinson,MN_Hutchinson_(AWOS),Very Hot Humid,,,,
L578,United States of America,International Falls,MN_International_Falls_In,Very Hot Humid,,,,
L579,United States of America,Litchfield,MN_Litchfield_Muni,Very Hot Humid,,,,
L580,United States of America,Little Falls,MN_Little_Falls_(AWOS),Very Hot Humid,,,,
L581,United States of America,Mankato,MN_Mankato(AWOS),Very Hot Humid,,,,
L582,United States of America,Marshall,MN_Marshall_Ryan(AWOS),Very Hot Humid,,,,
L583,United States of America,Minneapolis,MN_Minneapolis-St_Paul_In,Very Hot Humid,,MN_Minneapolis_Crystal,,
L585,United States of America,Mora,MN_Mora_Muni_(AWOS),Very Hot Humid,,,,
L586,United States of America,Morris,MN_Morris_Muni_(AWOS),Very Hot Humid,,,,
L587,United States of America,New Ulm,MN_New_Ulm_Muni_(AWOS),Very Hot Humid,,,,
L588,United States of America,Orr,MN_Orr,Very Hot Humid,,,,
L589,United States of America,Owatonna,MN_Owatonna_(AWOS),Very Hot Humid,,,,
L590,United States of America,Park Rapids,MN_Park_Rapids_Municipal,Very Hot Humid,,,,
L591,United States of America,Pipestone,MN_Pipestone_(AWOS),Very Hot Humid,,,,
L592,United States of America,Red Wing,MN_Red_Wing,Very Hot Humid,,,,
L593,United States of America,Redwood Falls,MN_Redwood_Falls_Muni,Very Hot Humid,,,,
L594,United States of America,Rochester,MN_Rochester_Internationa,Very Hot Humid,,,,
L595,United States of America,Roseau,MN_Roseau_Muni_(AWOS),Very Hot Humid,,,,
L596,United States of America,Silver Bay,MN_Silver_Bay,Very Hot Humid,,,,
L597,United States of America,South St. Paul,MN_South_St_Paul_Muni,Very Hot Humid,,,,
L598,United States of America,St. Cloud,MN_St_Cloud_Regional_Arpt,Very Hot Humid,,,,
L599,United States of America,St. Paul,MN_St_Paul_Downtown_AP,Very Hot Humid,,,,
L600,United States of America,Thief River,MN_Thief_River(AWOS),Very Hot Humid,,,,
L601,United States of America,Two Harbors,MN_Two_Harbors,Very Hot Humid,,,,
L602,United States of America,Wheaton,MN_Wheaton_Ndb_(AWOS),Very Hot Humid,,,,
L603,United States of America,Willmar,MN_Willmar,Very Hot Humid,,,,
L604,United States of America,Winona,MN_Winona_Muni_(AWOS),Very Hot Humid,,,,
L605,United States of America,Worthington,MN_Worthington_(AWOS),Very Hot Humid,,,,
L606,United States of America,Cape Girardeau,MO_Cape_Girardeau_Municip,Very Hot Humid,,,,
L607,United States of America,Columbia,MO_Columbia_Regional_Airp,Very Hot Humid,,,,
L608,United States of America,Farmington,MO_Farmington,Very Hot Humid,,,,
L609,United States of America,Fort Leonard Wood,MO_Ft_Lnrd_Wd_AAF,Very Hot Humid,,,,
L610,United States of America,Jefferson City,MO_Jefferson_City_Mem,Very Hot Humid,,,,
L611,United States of America,Joplin,MO_Joplin_Municipal_AP,Very Hot Humid,,,,
L612,United States of America,Kaiser,MO_Kaiser_Mem_(AWOS),Very Hot Humid,,,,
L614,United States of America,Kansas City ,MO_Kansas_City_Intl_Arpt,Very Hot Humid,,MO_Kansas_City_Downtown_A,,
L615,United States of America,Kirksville,MO_Kirksville_Regional_Ap,Very Hot Humid,,,,
L616,United States of America,Poplar Bluff,MO_Poplar_Bluff(AMOS),Very Hot Humid,,,,
L617,United States of America,Springfield,MO_Springfield_Regional_A,Very Hot Humid,,,,
L618,United States of America,St. Joseph,MO_St_Joseph_Rosecrans_Me,Very Hot Humid,,,,
L619,United States of America,St. Louis ,MO_St_Louis_Lambert_Intl,Very Hot Humid,,MO_St_Louis_Spirit_Of_St,,
L621,United States of America,Vichy ,MO_Vichy_Rolla_Natl_Arpt,Very Hot Humid,,,,
L622,United States of America,Whiteman,MO_Whiteman_AFB,Very Hot Humid,,,,
L623,United States of America,Columbus,MS_Columbus_AFB,Very Hot Humid,,,,
L624,United States of America,Golden Triangle,MS_Golden_Tri(AWOS),Very Hot Humid,,,,
L625,United States of America,Greenville,MS_Greenville_Municipal,Very Hot Humid,,,,
L626,United States of America,Greenwood,MS_Greenwood_Leflore_Arpt,Very Hot Humid,,,,
L627,United States of America,Gulfport ,MS_Gulfport_Biloxi_Int,Very Hot Humid,,,,
L628,United States of America,Hattiesburg,MS_Hattiesburg_Laurel,Very Hot Humid,,,,
L629,United States of America,Jackson,MS_Jackson_International,Very Hot Humid,,,,
L630,United States of America,Keesler,MS_Keesler_AFB,Very Hot Humid,,,,
L631,United States of America,McComb,MS_Mccomb_Pike_County_AP,Very Hot Humid,,,,
L632,United States of America,Meridian,MS_Meridian_Key_Field,Very Hot Humid,,,,
L633,United States of America,Meridian,MS_Meridian_Naas,Very Hot Humid,,,,
L634,United States of America,Natchez,MS_Natchez_Hardy(AWOS),Very Hot Humid,,,,
L635,United States of America,Tupelo,MS_Tupelo_C_D_Lemons_Arpt,Very Hot Humid,,,,
L636,United States of America,Billings,MT_Billings_Logan_Intl_A,Very Hot Humid,,,,
L637,United States of America,Bozeman,MT_Bozeman_Gallatin_Field,Very Hot Humid,,,,
L638,United States of America,Butte,MT_Butte_Bert_Mooney_Arpt,Very Hot Humid,,,,
L639,United States of America,Cut Bank,MT_Cut_Bank_Muni_AP,Very Hot Humid,,,,
L640,United States of America,Glasgow,MT_Glasgow_Intl_Arpt,Very Hot Humid,,,,
L641,United States of America,Glendive,MT_Glendive(AWOS),Very Hot Humid,,,,
L642,United States of America,Great Falls,MT_Great_Falls_Intl_Arpt,Very Hot Humid,,,,
L643,United States of America,Havre,MT_Havre_City-County_AP,Very Hot Humid,,,,
L644,United States of America,Helena,MT_Helena_Regional_Airpor,Very Hot Humid,,,,
L645,United States of America,Kalispell,MT_Kalispell_Glacier_Pk_I,Very Hot Humid,,,,
L646,United States of America,Lewistown,MT_Lewistown_Municipal_Ar,Very Hot Humid,,,,
L647,United States of America,Livingston,MT_Livingston_Mission_Fie,Very Hot Humid,,,,
L648,United States of America,Miles City,MT_Miles_City_Municipal_A,Very Hot Humid,,,,
L649,United States of America,Missoula,MT_Missoula_International,Very Hot Humid,,,,
L650,United States of America,Sidney,MT_Sidney-Richland,Very Hot Humid,,,,
L651,United States of America,Wolf Point,MT_Wolf_Point_Intl,Very Hot Humid,,,,
L652,United States of America,Asheville,NC_Asheville_Regional_Arp,Very Hot Humid,,,,
L653,United States of America,Cape Hatteras,NC_Cape_Hatteras_Nws_Bldg,Very Hot Humid,,,,
L654,United States of America,Charlotte,NC_Charlotte_Douglas_Intl,Very Hot Humid,,,,
L655,United States of America,Cherry Point,NC_Cherry_Point_MCAS,Very Hot Humid,,,,
L656,United States of America,Dare County,NC_Dare_Co_Rgnl,Very Hot Humid,,,,
L657,United States of America,Elizabeth City,NC_Elizabeth_City_Coast_G,Very Hot Humid,,,,
L658,United States of America,Fayetteville,NC_Fayetteville_Pope_AFB,Very Hot Humid,,,,
L659,United States of America,Fayetteville,NC_Fayetteville_Rgnl_G,Very Hot Humid,,,,
L660,United States of America,Fort Bragg,NC_Fort_Bragg_Simmons_AAF,Very Hot Humid,,,,
L661,United States of America,Goldsboro,NC_Goldsboro_Seymour_John,Very Hot Humid,,,,
L662,United States of America,Greensboro,NC_Greensboro_Piedmont_Tr,Very Hot Humid,,,,
L663,United States of America,Hickory,NC_Hickory_Regional_AP,Very Hot Humid,,,,
