Name,Layers,Material,Thickness(ft),Conductivity,Density,SpecificHeat,Layer_R_Value
Solid_Concrete_Block-200_XPS-25[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_XPS-25[ENS],L2,XPS,0.082020997,0.0161784,2.18505,0.289720198,5.069784242
Solid_Concrete_Block-200_XPS-25[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Concrete_Block-200_XPS-25[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_XPS-50[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_XPS-50[ENS],L2,XPS,0.164041995,0.0161784,2.18505,0.289720198,10.13956848
Solid_Concrete_Block-200_XPS-50[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Concrete_Block-200_XPS-50[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_EPS-25[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_EPS-25[ENS],L2,EPS,0.082020997,0.0219564,1.74804,0.289720198,3.735630494
Solid_Concrete_Block-200_EPS-25[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Concrete_Block-200_EPS-25[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_EPS-50[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Solid_Concrete_Block-200_EPS-50[ENS],L2,EPS,0.164041995,0.0219564,1.74804,0.289720198,7.471260988
Solid_Concrete_Block-200_EPS-50[ENS],L3,SBB,0.754593176,0.566244,119.8656,0.1910768,1.332629001
Solid_Concrete_Block-200_EPS-50[ENS],L4,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200[ENS],L1,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
Reinforce_Concrete_200[ENS],L2,RCC,0.656167979,0.912924,142.83984,0.21018448,0.718754222
Reinforce_Concrete_200[ENS],L3,CP,0.049212598,0.4165938,110.00166,0.20063064,0.118130895
