State,Location,State_Location,Climate,Latitude,Lati_unit,Longitude,Longi_unit
Uttar Pradesh,Sant Kabir Nagar,"Uttar Pradesh, Sant Kabir Nagar",Composite,26,N,83.07,E
Uttar Pradesh,Shahjahanpur,"Uttar Pradesh, Shahjahanpur",Composite,27,N,79.95,E
Uttar Pradesh,Shamli,"Uttar Pradesh, Shamli",Composite,29.45,N,77.31,E
Uttar Pradesh,Shravasti,"Uttar Pradesh, Shravasti",Composite,27,N,82.62,E
Uttar Pradesh,Siddharthnagar,"Uttar Pradesh, Siddharthnagar",Composite,27,N,83.1,E
Uttar Pradesh,Sitapur,"Uttar Pradesh, Sitapur",Composite,27,N,79.95,E
Uttar Pradesh,Sonbhadra,"Uttar Pradesh, Sonbhadra",Composite,24,N,83.07,E
Uttar Pradesh,Sultanpur,"Uttar Pradesh, Sultanpur",Composite,26,N,82.07,E
Uttar Pradesh,Unnao,"Uttar Pradesh, Unnao",Composite,26,N,80.72,E
Uttar Pradesh,Varanasi,"Uttar Pradesh, Varanasi",Composite,25,N,83,E
Uttarakhand,Almora,"Uttarakhand, Almora",Cold,29,N,89.67,E
Uttarakhand,Bageshwar,"Uttarakhand, Bageshwar",Cold,29,N,89.77,E
Uttarakhand,Chamoli,"Uttarakhand, Chamoli",Cold,30,N,79.35,E
Uttarakhand,Champawat,"Uttarakhand, Champawat",Cold,26,N,80.1,E
Uttarakhand,Dehradun,"Uttarakhand, Dehradun",Composite,30,N,79.35,E
Uttarakhand,Haridwar,"Uttarakhand, Haridwar",Composite,30,N,78.02,E
Uttarakhand,Nainital,"Uttarakhand, Nainital",Composite,29,N,79.45,E
Uttarakhand,Pauri,"Uttarakhand, Pauri",Composite,30,N,78.77,E
Uttarakhand,Pithoragarh,"Uttarakhand, Pithoragarh",Cold,29,N,80.22,E
Uttarakhand,Rudraprayag,"Uttarakhand, Rudraprayag",Cold,30,N,78.97,E
Uttarakhand,Tehri,"Uttarakhand, Tehri","Cold,Composite",30,N,78.47,E
Uttarakhand,Udham Singh Nagar,"Uttarakhand, Udham Singh Nagar",Composite,30,N,79.35,E
Uttarakhand,Uttarkashi,"Uttarakhand, Uttarkashi",Cold,30,N,78.45,E
West Bengal,Alipurduar,"West Bengal, Alipurduar",Warm & Humid,26.49,N,89.52,E
West Bengal,Bankura,"West Bengal, Bankura",Warm & Humid,23,N,87.12,E
West Bengal,Birbhum,"West Bengal, Birbhum",Warm & Humid,24,N,87.57,E
West Bengal,Cooch Behar,"West Bengal, Cooch Behar",Warm & Humid,26,N,89.42,E
West Bengal,Dakshin Dinajpur,"West Bengal, Dakshin Dinajpur",Warm & Humid,25,N,88.77,E
West Bengal,Darjeeling,"West Bengal, Darjeeling",Warm & Humid,27,N,88.3,E
West Bengal,Hooghly,"West Bengal, Hooghly",Warm & Humid,22,N,88.4,E
West Bengal,Howrah,"West Bengal, Howrah",Warm & Humid,22,N,88.3,E
West Bengal,Jalpaiguri,"West Bengal, Jalpaiguri",Warm & Humid,26,N,88.3,E
West Bengal,Jhargram,"West Bengal, Jhargram",Warm & Humid,22.45,N,86.99,E
West Bengal,Kalimpong,"West Bengal, Kalimpong",Warm & Humid,27.06,N,88.47,E
West Bengal,Kolkata,"West Bengal, Kolkata",Warm & Humid,22,N,88.37,E
West Bengal,Malda,"West Bengal, Malda",Warm & Humid,25,N,88.15,E
West Bengal,Murshidabad,"West Bengal, Murshidabad",Warm & Humid,24,N,88.32,E
West Bengal,Nadia,"West Bengal, Nadia",Warm & Humid,23,N,88.37,E
West Bengal,North 24 Parganas,"West Bengal, North 24 Parganas",Warm & Humid,22,N,88.52,E
West Bengal,Paschim Bardhaman,"West Bengal, Paschim Bardhaman",Warm & Humid,23.68,N,86.97,E
West Bengal,Paschim Medinipur,"West Bengal, Paschim Medinipur",Warm & Humid,22.42,N,87.32,E
West Bengal,Purba Bardhaman,"West Bengal, Purba Bardhaman",Warm & Humid,23.24,N,87.86,E
West Bengal,Purba Medinipur,"West Bengal, Purba Medinipur",Warm & Humid,22.29,N,87.924,E
West Bengal,Purulia,"West Bengal, Purulia",Composite,23,N,88.47,E
West Bengal,South 24 Parganas,"West Bengal, South 24 Parganas",Warm & Humid,22,N,88.33,E
West Bengal,Uttar Dinajpur,"West Bengal, Uttar Dinajpur",Warm & Humid,25,N,88.12,E
USA,Washington-DC,"USA, Washington-DC",Temperate,38.9,N,77.03,W
Canada,Ontario,"Canada, Ontario",Warm & Humid,51.25,N,85.32,W
