Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
6R_2Space Polygon 27,"(0.0, 0.0)","(23.3, 0.0)","(23.3, 15.4)","(0.0, 15.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 28,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_2Space Polygon 29,"(0.0, 0.0)","(0.65, 0.0)","(0.65, 23.3)","(6.3, 23.3)","(6.3, 31.85)","(0.0, 31.85)","(0.0, 43.15)","(-5.9, 43.15)","(-5.9, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
6R_2Space Polygon 30,"(0.0, 0.0)","(89.35, 0.0)","(89.35, 37.2)","(95.9, 37.2)","(96.0, 44.05)","(84.65, 44.05)","(84.65, 74.55)","(105.0, 74.55)","(105.0, 81.1)","(110.9, 81.1)","(120.85, 81.1)","(120.85, 118.6)","(120.84, 118.6)","(56.75, 118.6)","(0.0, 118.6)","(0.75, 75.55)","(8.05, 75.55)","(30.7, 75.55)","(54.3, 75.55)","(54.3, 43.05)","(40.2, 43.05)","(17.9, 43.05)","(8.05, 43.05)","(0.0, 43.05)",,,,,,,,,,,24
6R_2Space Polygon 31,"(0.0, 0.0)","(89.0, 0.0)","(89.0, 43.05)","(81.3, 43.05)","(35.05, 43.05)","(35.05, 75.55)","(81.3, 75.55)","(89.75, 75.55)","(89.0, 118.6)","(32.55, 118.6)","(-31.5, 118.6)","(-31.5, 81.1)","(-21.55, 81.1)","(-15.65, 81.1)","(-15.65, 74.55)","(4.7, 74.55)","(4.7, 44.05)","(-6.55, 44.15)","(-6.55, 37.2)","(0.0, 37.2)",,,,,,,,,,,,,,,20
7T_2Floor Polygon,"(291.8, 8.55)","(291.8, 63.3)","(282.95, 63.3)","(283.0, 102.35)","(291.8, 102.35)","(291.85, 157.15)","(20.5, 157.15)","(20.5, 102.35)","(29.35, 102.35)","(29.35, 63.3)","(20.5, 63.3)","(20.5, 8.55)",,,,,,,,,,,,,,,,,,,,,,,12
7T_2Space Polygon 1,"(0.0, 0.0)","(54.75, -0.0)","(54.75, 8.85)","(52.95, 8.85)","(52.95, 24.25)","(39.75, 23.87)","(39.75, 23.85)","(39.75, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
7T_2Space Polygon 2,"(0.0, 0.0)","(54.8, 0.0)","(39.79, 15.0)","(14.99, 15.0)","(2.14, 14.95)","(2.14, 8.8)","(-0.01, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
7T_2Space Polygon 3,"(0.0, 0.0)","(271.35, 0.0)","(256.35, 15.0)","(15.01, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 4,"(0.0, 0.0)","(54.8, 0.0)","(54.8, 8.85)","(52.5, 8.85)","(52.5, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7T_2Space Polygon 5,"(0.0, 0.0)","(8.85, 0.0)","(8.85, 54.75)","(-6.15, 39.75)","(-6.15, 1.8)","(0.0, 1.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7T_2Space Polygon 6,"(0.0, 0.0)","(271.3, 0.0)","(256.3, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 7,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 8,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 32.4)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 9,"(0.0, 0.0)","(9.85, 0.1)","(9.85, 32.4)","(0.0, 32.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 10,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.4)","(0.0, 32.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 11,"(0.0, 0.0)","(9.5, 0.0)","(9.5, -20.0)","(23.6, -20.0)","(23.6, 12.5)","(0.0, 12.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7T_2Space Polygon 12,"(0.0, 0.0)","(9.5, -0.1)","(9.5, 19.9)","(0.0, 19.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 13,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 14,"(0.0, 0.0)","(9.5, 0.0)","(9.5, 20.0)","(0.0, 20.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 15,"(0.0, 0.0)","(14.1, 0.0)","(14.1, 20.0)","(23.6, 20.0)","(23.6, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7T_2Space Polygon 16,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 17,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 43.15)","(0.65, 43.15)","(0.65, 31.85)","(-4.95, 31.85)","(-4.95, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
7T_2Space Polygon 18,"(0.0, 0.0)","(9.0, 0.0)","(9.0, 16.1)","(-2.3, 16.1)","(-2.3, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
7T_2Space Polygon 19,"(0.0, 0.0)","(10.5, 0.0)","(10.5, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 20,"(0.0, 0.0)","(21.5, 0.0)","(23.3, 0.0)","(23.3, 15.45)","(0.0, 15.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
7T_2Space Polygon 21,"(0.0, 0.0)","(2.15, 0.0)","(2.3, 16.1)","(-9.0, 16.1)","(-9.0, 0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
7T_2Space Polygon 22,"(0.0, 0.0)","(9.75, 0.0)","(9.75, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 23,"(0.0, 0.0)","(21.5, 0.0)","(21.5, 15.4)","(-1.8, 15.4)","(-1.8, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
7T_2Space Polygon 24,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 23.3)","(12.2, 23.3)","(12.2, 31.85)","(5.9, 31.85)","(5.9, 43.15)","(0.0, 43.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
7T_2Space Polygon 25,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 26,"(0.0, 0.0)","(120.8, 0.0)","(120.8, 24.75)","(111.95, 24.75)","(111.55, 37.95)","(105.0, 37.95)","(105.0, 44.05)","(84.65, 44.05)","(84.65, 74.55)","(105.0, 74.55)","(105.0, 81.1)","(120.85, 80.95)","(120.85, 118.6)","(120.84, 118.6)","(52.65, 118.6)","(52.65, 97.0)","(0.0, 97.0)","(0.75, 75.55)","(30.7, 75.55)","(54.3, 75.55)","(54.3, 43.05)","(40.2, 43.05)","(8.05, 43.05)","(0.0, 43.05)",,,,,,,,,,,24
7T_2Space Polygon 27,"(0.0, 0.0)","(104.8, 0.0)","(104.8, 21.6)","(0.0, 21.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_2Space Polygon 28,"(0.0, 0.0)","(120.5, 0.0)","(120.5, 43.05)","(112.8, 43.05)","(66.55, 43.05)","(66.55, 75.55)","(112.8, 75.55)","(121.25, 75.55)","(120.5, 97.0)","(68.35, 97.0)","(68.35, 118.6)","(0.0, 118.6)","(0.0, 81.1)","(9.95, 81.1)","(15.85, 81.1)","(15.85, 74.55)","(36.2, 74.55)","(36.2, 44.05)","(15.85, 44.05)","(15.85, 37.95)","(9.3, 37.95)","(0.0, 37.95)",,,,,,,,,,,,,22
1R_2Floor Polygon,"(260.35, 8.55)","(260.35, 45.75)","(266.9, 45.75)","(266.9, 61.5)","(282.95, 61.5)","(283.0, 102.35)","(291.8, 102.35)","(291.85, 157.15)","(212.75, 157.15)","(99.55, 157.15)","(20.5, 157.15)","(20.5, 102.35)","(29.35, 102.35)","(29.35, 61.5)","(44.8, 61.5)","(45.45, 61.5)","(45.45, 45.75)","(52.0, 45.75)","(52.0, 8.55)",,,,,,,,,,,,,,,,19
1R_2Space Polygon 1,"(0.0, 0.0)","(37.2, -0.0)","(52.2, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 2,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 15.75)","(0.65, 15.75)","(0.65, 21.85)","(-8.45, 21.85)","(-8.45, 15.0)","(-15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1R_2Space Polygon 3,"(0.0, 0.0)","(54.8, 0.0)","(39.79, 15.0)","(2.29, 15.0)","(2.29, 8.8)","(-0.01, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_2Space Polygon 4,"(0.0, 0.0)","(79.1, 0.0)","(79.1, 15.0)","(15.01, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 5,"(0.0, 0.0)","(113.2, 0.0)","(113.2, 15.0)","(0.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 6,"(0.0, 0.0)","(79.05, 0.0)","(64.05, 15.0)","(0.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 7,"(0.0, 0.0)","(54.8, 0.0)","(54.8, 8.85)","(52.5, 8.85)","(52.5, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_2Space Polygon 8,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 6.55)","(0.75, 21.55)","(0.75, 15.0)","(-6.1, 15.0)","(-6.1, 5.9)","(0.0, 5.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1R_2Space Polygon 9,"(0.0, 0.0)","(37.2, 0.0)","(22.2, 15.0)","(-15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 10,"(0.0, 0.0)","(208.35, 0.0)","(193.35, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 11,"(0.0, 0.0)","(14.1, 0.0)","(14.1, 20.0)","(23.6, 20.0)","(23.6, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_2Space Polygon 12,"(0.0, 0.0)","(9.5, 0.0)","(9.5, 20.0)","(0.0, 20.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 13,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 14,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 15,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 16,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.4)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 17,"(0.0, 0.0)","(12.8, 0.1)","(12.8, 32.5)","(0.0, 32.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 18,"(0.0, 0.0)","(9.5, -0.1)","(9.5, 19.9)","(0.0, 19.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 19,"(0.0, 0.0)","(9.5, 0.0)","(9.5, -20.0)","(23.6, -20.0)","(23.6, 12.5)","(0.0, 12.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_2Space Polygon 20,"(0.0, 0.0)","(9.0, 0.0)","(9.0, 16.1)","(-2.3, 16.1)","(-2.3, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1R_2Space Polygon 21,"(0.0, 0.0)","(8.55, 0.0)","(8.55, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 22,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 23,"(0.0, 0.0)","(23.3, 0.0)","(23.3, 15.45)","(0.0, 15.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 24,"(0.0, 0.0)","(0.65, 0.0)","(6.55, 0.0)","(6.55, 43.15)","(0.65, 43.15)","(0.65, 31.85)","(-4.95, 31.85)","(-4.95, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1R_2Space Polygon 25,"(0.0, 0.0)","(2.3, 0.0)","(2.3, 16.1)","(-9.0, 16.1)","(-9.0, 0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1R_2Space Polygon 26,"(0.0, 0.0)","(9.75, 0.0)","(9.75, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 27,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 28,"(0.0, 0.0)","(15.4, 0.0)","(15.4, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_2Space Polygon 29,"(0.0, 0.0)","(0.65, 0.0)","(0.65, 23.3)","(6.3, 23.3)","(6.3, 31.85)","(0.0, 31.85)","(0.0, 43.15)","(-5.9, 43.15)","(-5.9, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1R_2Space Polygon 30,"(0.0, 0.0)","(89.35, 0.0)","(89.35, 37.2)","(95.9, 37.2)","(95.9, 44.05)","(84.65, 44.05)","(84.65, 74.55)","(105.0, 74.55)","(105.0, 81.1)","(110.9, 81.1)","(120.8, 81.1)","(120.85, 118.6)","(120.84, 118.6)","(56.75, 118.6)","(0.0, 118.6)","(0.0, 75.55)","(8.05, 75.55)","(30.7, 75.55)","(54.3, 75.55)","(54.3, 43.05)","(40.2, 43.05)","(17.9, 43.05)","(8.05, 43.05)","(0.0, 43.05)",,,,,,,,,,,24
1R_2Space Polygon 31,"(0.0, 0.0)","(89.0, 0.0)","(89.0, 43.05)","(81.3, 43.05)","(35.05, 43.05)","(35.05, 75.55)","(81.3, 75.55)","(89.0, 75.55)","(89.0, 118.6)","(32.55, 118.6)","(-31.5, 118.6)","(-31.5, 81.1)","(-21.55, 81.1)","(-15.65, 81.1)","(-15.65, 74.55)","(4.7, 74.55)","(4.7, 44.05)","(-6.55, 44.05)","(-6.55, 37.2)","(0.0, 37.2)",,,,,,,,,,,,,,,20
1T_2Floor Polygon,"(291.8, 8.55)","(291.8, 63.3)","(282.95, 63.3)","(283.0, 102.35)","(291.8, 102.35)","(291.85, 157.15)","(20.5, 157.15)","(20.5, 102.35)","(29.35, 102.35)","(29.35, 63.3)","(20.5, 63.3)","(20.5, 8.55)",,,,,,,,,,,,,,,,,,,,,,,12
1T_2Space Polygon 1,"(0.0, 0.0)","(54.75, -0.0)","(54.75, 8.85)","(52.95, 8.85)","(52.95, 24.25)","(39.75, 23.87)","(39.75, 23.85)","(39.75, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1T_2Space Polygon 2,"(0.0, 0.0)","(54.8, 0.0)","(39.79, 15.0)","(14.99, 15.0)","(2.14, 14.95)","(2.14, 8.8)","(-0.01, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1T_2Space Polygon 3,"(0.0, 0.0)","(271.35, 0.0)","(256.35, 15.0)","(15.01, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 4,"(0.0, 0.0)","(54.8, 0.0)","(54.8, 8.85)","(52.5, 8.85)","(52.5, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1T_2Space Polygon 5,"(0.0, 0.0)","(8.85, 0.0)","(8.85, 54.75)","(-6.15, 39.75)","(-6.15, 1.8)","(0.0, 1.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1T_2Space Polygon 6,"(0.0, 0.0)","(271.3, 0.0)","(256.3, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 7,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 8,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 32.4)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 9,"(0.0, 0.0)","(9.85, 0.1)","(9.85, 32.4)","(0.0, 32.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 10,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.4)","(0.0, 32.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 11,"(0.0, 0.0)","(9.5, 0.0)","(9.5, -20.0)","(23.6, -20.0)","(23.6, 12.5)","(0.0, 12.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1T_2Space Polygon 12,"(0.0, 0.0)","(9.5, -0.1)","(9.5, 19.9)","(0.0, 19.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 13,"(0.0, 0.0)","(12.8, 0.0)","(12.8, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 14,"(0.0, 0.0)","(9.5, 0.0)","(9.5, 20.0)","(0.0, 20.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 15,"(0.0, 0.0)","(14.1, 0.0)","(14.1, 20.0)","(23.6, 20.0)","(23.6, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1T_2Space Polygon 16,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 17,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 43.15)","(0.65, 43.15)","(0.65, 31.85)","(-4.95, 31.85)","(-4.95, 23.3)","(0.0, 23.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1T_2Space Polygon 18,"(0.0, 0.0)","(9.0, 0.0)","(9.0, 16.1)","(-2.3, 16.1)","(-2.3, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1T_2Space Polygon 19,"(0.0, 0.0)","(10.5, 0.0)","(10.5, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 20,"(0.0, 0.0)","(21.5, 0.0)","(23.3, 0.0)","(23.3, 15.45)","(0.0, 15.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1T_2Space Polygon 21,"(0.0, 0.0)","(2.15, 0.0)","(2.3, 16.1)","(-9.0, 16.1)","(-9.0, 0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1T_2Space Polygon 22,"(0.0, 0.0)","(9.75, 0.0)","(9.75, 8.55)","(0.0, 8.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 23,"(0.0, 0.0)","(21.5, 0.0)","(21.5, 15.4)","(-1.8, 15.4)","(-1.8, 0.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1T_2Space Polygon 24,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 23.3)","(12.2, 23.3)","(12.2, 31.85)","(5.9, 31.85)","(5.9, 43.15)","(0.0, 43.15)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1T_2Space Polygon 25,"(0.0, 0.0)","(20.35, 0.0)","(20.35, 30.5)","(0.0, 30.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 26,"(0.0, 0.0)","(120.8, 0.0)","(120.8, 24.75)","(111.95, 24.75)","(111.55, 37.95)","(105.0, 37.95)","(105.0, 44.05)","(84.65, 44.05)","(84.65, 74.55)","(105.0, 74.55)","(105.0, 81.1)","(120.85, 80.95)","(120.85, 118.6)","(120.84, 118.6)","(52.65, 118.6)","(52.65, 97.0)","(0.0, 97.0)","(0.75, 75.55)","(30.7, 75.55)","(54.3, 75.55)","(54.3, 43.05)","(40.2, 43.05)","(8.05, 43.05)","(0.0, 43.05)",,,,,,,,,,,24
1T_2Space Polygon 27,"(0.0, 0.0)","(104.8, 0.0)","(104.8, 21.6)","(0.0, 21.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_2Space Polygon 28,"(0.0, 0.0)","(120.5, 0.0)","(120.5, 43.05)","(112.8, 43.05)","(66.55, 43.05)","(66.55, 75.55)","(112.8, 75.55)","(121.25, 75.55)","(120.5, 97.0)","(68.35, 97.0)","(68.35, 118.6)","(0.0, 118.6)","(0.0, 81.1)","(9.95, 81.1)","(15.85, 81.1)","(15.85, 74.55)","(36.2, 74.55)","(36.2, 44.05)","(15.85, 44.05)","(15.85, 37.95)","(9.3, 37.95)","(0.0, 37.95)",,,,,,,,,,,,,22
3T_3Floor Polygon,"(465.05, 261.15)","(465.05, 281.0)","(477.7, 281.0)","(477.7, 297.25)","(493.95, 297.25)","(493.95, 373.7)","(477.7, 373.7)","(477.7, 389.95)","(465.05, 389.95)","(465.05, 409.8)","(280.35, 409.8)","(280.35, 389.95)","(267.7, 389.95)","(267.7, 373.7)","(251.5, 373.7)","(251.5, 297.25)","(267.7, 297.25)","(267.7, 281.0)","(280.35, 281.0)","(280.35, 261.15)",,,,,,,,,,,,,,,20
3T_3Space Polygon 1,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.9)","(51.1, -13.9)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
3T_3Space Polygon 2,"(0.0, 0.0)","(76.45, 0.0)","(61.45, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 3,"(0.0, 0.0)","(16.25, 0.0)","(16.25, -16.25)","(28.9, -16.25)","(28.9, -36.1)","(43.9, -21.1)","(43.9, -1.25)","(31.25, -1.25)","(31.25, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
3T_3Space Polygon 4,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 5,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.85)","(55.15, -28.85)","(55.15, -13.85)","(51.1, -13.85)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,12
3T_3Space Polygon 6,"(0.0, 0.0)","(16.2, 0.0)","(16.2, -16.25)","(28.85, -16.25)","(28.85, -36.1)","(43.85, -21.1)","(43.85, -1.25)","(31.2, -1.25)","(31.2, 15.0)","(15.0, 15.0)","(15.0, 19.05)","(0.0, 19.05)",,,,,,,,,,,,,,,,,,,,,,,12
3T_3Space Polygon 7,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 8,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(0.0, 5.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 9,"(0.0, 0.0)","(5.4, 0.0)","(5.4, 16.55)","(25.1, 16.55)","(25.1, 18.5)","(26.7, 18.5)","(26.7, 19.2)","(0.0, 19.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
3T_3Space Polygon 10,"(0.0, 0.0)","(27.55, 0.0)","(27.55, 19.2)","(21.3, 19.2)","(21.3, 18.5)","(19.7, 18.5)","(19.7, 16.55)","(0.0, 16.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
3T_3Space Polygon 11,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 30.55)","(0.0, 30.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 12,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 44.3)","(0.0, 44.3)","(0.0, 19.2)","(-5.25, 19.2)","(-5.6, 19.2)","(-5.6, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,9
3T_3Space Polygon 13,"(0.0, 0.0)","(16.75, 0.0)","(16.75, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 14,"(0.0, 0.0)","(11.15, 0.0)","(11.15, 7.85)","(0.0, 7.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 15,"(0.0, 0.0)","(5.25, 0.0)","(5.25, 18.55)","(0.0, 18.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 16,"(0.0, 0.0)","(11.5, 0.0)","(11.5, 18.55)","(16.75, 18.55)","(16.75, 25.1)","(0.0, 25.1)","(0.0, 19.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3T_3Space Polygon 17,"(0.0, 0.0)","(32.8, 0.0)","(32.8, 39.05)","(0.0, 39.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 18,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 19,"(0.0, 0.0)","(11.8, 0.0)","(11.8, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_3Space Polygon 20,"(0.0, 0.0)","(11.0, 0.0)","(11.0, 39.05)","(9.85, 39.85)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
