Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
1R_1Space Polygon 25,"(0.0, 0.0)","(19.0, 0.0)","(19.0, 26.05)","(0.0, 26.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_1Space Polygon 26,"(0.0, 0.0)","(9.7, 0.0)","(9.7, 9.85)","(0.0, 9.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_1Space Polygon 27,"(0.0, 0.0)","(8.8, 0.0)","(8.8, 19.65)","(0.0, 19.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_1Space Polygon 28,"(0.0, 0.0)","(49.85, 0.0)","(49.85, 6.0)","(66.6, 6.1)","(66.5, 43.05)","(-90.1, 43.4)","(-90.1, -0.3)","(-51.85, 0.0)","(-51.85, -32.5)","(-90.45, -32.3)","(-90.1, -75.2)","(22.05, -75.55)","(22.05, -38.35)","(49.85, -38.55)","(49.85, -32.5)","(0.0, -32.5)",,,,,,,,,,,,,,,,,,,16
1R_1Space Polygon 29,"(0.0, 0.0)","(49.85, 0.0)","(49.85, -32.45)","(8.4, -32.5)","(8.4, -38.35)","(27.75, -38.35)","(27.75, -75.55)","(140.2, -75.2)","(139.85, -32.3)","(101.7, -32.5)","(101.7, 0.0)","(140.2, -0.3)","(140.2, 43.4)","(-16.65, 43.05)","(-16.35, 5.95)","(0.0, 6.0)",,,,,,,,,,,,,,,,,,,16
1T_1Floor Polygon,"(453.6, 8.55)","(797.05, 8.55)","(797.05, 59.7)","(791.65, 59.7)","(791.65, 106.3)","(797.05, 105.95)","(797.05, 157.15)","(453.55, 157.15)","(453.55, 105.95)","(459.0, 106.3)","(459.0, 59.35)","(453.6, 59.7)",,,,,,,,,,,,,,,,,,,,,,,12
1T_1Space Polygon 1,"(0.0, 0.0)","(343.45, 0.0)","(328.45, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 2,"(0.0, 0.0)","(51.15, -0.0)","(51.15, 5.4)","(52.0, 5.15)","(52.0, 14.9)","(36.15, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1T_1Space Polygon 3,"(0.0, 0.0)","(5.41, 0.0)","(2.1, 51.09)","(-11.9, 35.15)","(-10.59, 15.0)","(-9.41, -1.71)","(0.03, -1.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1T_1Space Polygon 4,"(0.0, 0.0)","(343.5, 0.0)","(328.5, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 5,"(0.0, 0.0)","(51.2, 0.0)","(50.85, 5.45)","(52.1, 5.6)","(52.1, 15.35)","(35.21, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1T_1Space Polygon 6,"(0.0, 0.0)","(5.41, 0.0)","(2.1, 51.04)","(-11.9, 35.1)","(-9.5, -1.82)","(0.08, -1.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
