,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH)
21,0_0_1_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.07,0.94,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.139,0.013,0,0,0,1.909,2.688,17.782,0,-78.003,-445.036,0.010340799750902002,3231.2189888695184,8.264462809917356,16.129032258064516,0.8264462809917356,223.71,0.3333333333333333,722856
22,0_0_2_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.08,1.13,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.139,0.015,0,0,0,1.909,2.688,17.782,0,-78.003,-445.033,0.010340799750902002,3230.9448801304825,8.264462809917356,16.129032258064516,0.8264462809917356,223.785,0.39080459770114945,723037
23,0_0_3_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.11,1.5,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.139,0.02,0,0,0,1.909,2.688,17.782,0,-78.003,-445.028,0.010340799750902002,3230.351529008288,8.264462809917356,16.129032258064516,0.8264462809917356,223.936,0.5287356321839081,723392
24,0_0_4_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.14,1.88,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.138,0.025,0,0,0,1.909,2.688,17.782,0,-78.003,-445.023,0.010340799750902002,3229.7912408628827,8.264462809917356,16.129032258064516,0.8264462809917356,224.086,0.6551724137931034,723751
25,0_0_5_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.17,2.25,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.138,0.03,0,0,0,1.909,2.688,17.782,0,-78.003,-445.018,0.010340799750902002,3229.1740991794504,8.264462809917356,16.129032258064516,0.8264462809917356,224.24,0.793103448275862,724110
26,0_0_6_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.19,2.62,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.138,0.035,0,0,0,1.909,2.688,17.782,0,-78.003,-445.013,0.010340799750902002,3228.5523295973617,8.264462809917356,16.129032258064516,0.8264462809917356,224.395,0.9195402298850576,724471
27,0_0_7_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.062,0.121,0.081,,0.373,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,308.38,51.6,1.22,2.99,0,0,0,117.25,26.17,38.93,0,7.41,-362.336,-24.948,-2.138,0.04,0,0,0,1.909,2.688,17.782,0,-78.003,-445.008,0.010340799750902002,3227.9304033382173,8.264462809917356,16.129032258064516,0.8264462809917356,224.551,1.0574712643678161,724835
28,0_10_0_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.04,0.121,0.066,,0.364,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,296.84,12.68,1.02,0.87,0,0,0,114.13,24.79,38.44,0,7.41,-362.907,-14.306,-2.146,0.033,0,0,0,3.898,4.616,18.102,0,-78.003,-430.713,0.010340799750902002,3330.8930764507213,8.264462809917356,25,0.8264462809917356,208.448,0.3333333333333333,694318
29,0_11_0_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.036,0.121,0.064,,0.362,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,296.92,11.45,1.02,0.87,0,0,0,114.15,24.8,38.45,0,7.41,-363.082,-12.999,-2.147,0.033,0,0,0,3.912,4.624,18.108,0,-78.003,-429.555,0.010340799750902002,3331.455331412104,8.264462809917356,27.77777777777778,0.8264462809917356,208.2,0.3333333333333333,693609
30,0_12_0_0_0_0_0_ECMTest245,ECMTest245,Business,ahmedabad,47846.1,0,33807.9,14038.200000000003,23508.82,38638.775,48488.52999999999,7292.86,7120.21,2882.15,2877.89,1552.06,,121.64,1418.91,47846.23,23265.72,71111.97,,118958.19,0.121,0.121,0.121,0.121,0.121,,0.121,0.121,0.033,0.121,0.062,,0.361,0,0,0,243.1,0,,0,0,0,243.1,243.1,,243.1,0,0,0,1.21,0,,0,0,0,1.21,1.21,,1.21,297,10.44,1.02,0.87,0,0,0,114.16,24.8,38.45,0,7.41,-363.239,-11.918,-2.149,0.033,0,0,0,3.925,4.631,18.113,0,-78.003,-428.608,0.010340799750902002,3331.940691737421,8.264462809917356,30.3030303030303,0.8264462809917356,207.998,0.3333333333333333,693037
