,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,Equip(W/Sqft),Light(W/Sqft),WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH)
44,0_15_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.074,0.118,0.092,0.024,0.074,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.25,357.52,504.87,274.4,0,0,0,1503.98,556.32,644.71,0,0,9.769,-15.267,-34.004,5.348,0,0,0,0.044,5.967,6.343,0,0,-21.8,1,0.7,0.2657319041050323,3026.4583120429684,8.474576271186441,13.513513513513514,1.0893246187363834,4863.311,0.3333333333333333,14718597
45,0_16_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.063,0.118,0.085,0.024,0.069,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.45,302.09,505.49,274.91,0,0,0,1505.08,557,645.04,0,0,9.464,-12.014,-33.394,5,0,0,0,0.039,5.5,5.964,0,0,-19.443,1,0.7,0.2657319041050323,3032.3483154239166,8.474576271186441,15.873015873015873,1.0893246187363834,4839.912,0.3333333333333333,14676294
46,0_17_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.054,0.118,0.08,0.024,0.066,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.59,260.9,505.93,275.29,0,0,0,1505.85,557.49,645.27,0,0,9.502,-10.395,-33.469,5.033,0,0,0,0.039,5.517,5.972,0,0,-17.799,1,0.7,0.2657319041050323,3033.6062600887235,8.474576271186441,18.51851851851852,1.0893246187363834,4827.791,0.3333333333333333,14645612
47,0_18_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.048,0.118,0.076,0.024,0.063,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.7,228.72,506.25,275.58,0,0,0,1506.4,557.86,645.45,0,0,9.526,-9.009,-33.479,5.044,0,0,0,0.041,5.452,5.889,0,0,-16.536,1,0.7,0.2657319041050323,3037.8653476704535,8.474576271186441,20.833333333333332,1.0893246187363834,4815.379,0.3333333333333333,14628468
48,0_19_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.043,0.118,0.073,0.024,0.061,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.78,202.61,506.5,275.83,0,0,0,1506.82,558.13,645.58,0,0,9.19,-7.768,-32.522,4.579,0,0,0,0.032,5.269,5.707,0,0,-15.512,1,0.7,0.2657319041050323,3040.4486939582425,8.474576271186441,23.255813953488374,1.0893246187363834,4806.929,0.3333333333333333,14615218
49,0_1_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.372,0.118,0.268,0.024,0.206,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,188.93,782.62,478.18,237.35,0,0,0,1457.88,529.77,632.02,0,0,0.223,0,-1.311,0.359,0,0,0,0.001,0.179,0.202,0,0,-0.348,1,0.7,0.2657319041050323,3251.7423386683886,8.474576271186441,2.6881720430107525,1.0893246187363834,4961.148,0.3333333333333333,16132374
50,0_20_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.039,0.118,0.071,0.024,0.059,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.85,180.82,506.7,276.03,0,0,0,1507.16,558.36,645.69,0,0,9.1,-6.463,-32.355,4.521,0,0,0,0.032,4.92,5.546,0,0,-14.701,1,0.7,0.2657319041050323,3040.9393479725873,8.474576271186441,25.641025641025642,1.0893246187363834,4801.884,0.3333333333333333,14602236
51,0_21_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.035,0.118,0.069,0.024,0.057,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.9,162.2,506.87,276.18,0,0,0,1507.44,558.55,645.78,0,0,9.002,-5.724,-32.104,4.39,0,0,0,0.031,4.896,5.515,0,0,-13.995,1,0.7,0.2657319041050323,3040.0144196857887,8.474576271186441,28.57142857142857,1.0893246187363834,4798.995,0.3333333333333333,14589006
52,0_22_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.032,0.118,0.067,0.024,0.056,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,179.94,145.99,507,276.3,0,0,0,1507.67,558.71,645.86,0,0,9.019,-5.09,-32.127,4.397,0,0,0,0.03,4.9,5.516,0,0,-13.354,1,0.7,0.2657319041050323,3044.4640054184265,8.474576271186441,31.25,1.0893246187363834,4789.582,0.3333333333333333,14581703
53,0_2_0_0_0_0_0_ok,ok,Business,chennai,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.193,0.118,0.163,0.024,0.127,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,192.41,406.97,484.97,241.16,0,0,0,1464.98,535.37,634.7,0,0,0.223,0,-1.311,0.359,0,0,0,0.001,0.179,0.202,0,0,-0.348,1,0.7,0.2657319041050323,3171.0094650435562,8.474576271186441,5.181347150259067,1.0893246187363834,4870.976,0.3333333333333333,15445911
