,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,WWR,Equip(W/Sqft),Light(W/Sqft),EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH)
44,0_17_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.054,0.118,0.08,0.024,0.066,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.2,331.94,602.93,250.26,0,0,0,1503.13,555.24,644.22,0,0,-0.729,-101.982,-289.892,57.304,0,0,0,0,20.921,23.41,0,0,-290.968,0.2657319041050323,1,0.7,2854.724315188791,8.474576271186441,18.51851851851852,1.0893246187363834,5024.633,0.3333333333333333,14343939
45,0_18_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.048,0.118,0.076,0.024,0.063,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.33,294.35,603.31,250.55,0,0,0,1503.6799999999998,555.59,644.38,0,0,-0.718,-89.649,-290.094,57.339,0,0,0,0,20.938,23.419,0,0,-278.764,0.2657319041050323,1,0.7,2861.799865056374,8.474576271186441,20.833333333333332,1.0893246187363834,5005.053,0.3333333333333333,14323457
46,0_19_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.043,0.118,0.073,0.024,0.061,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.44,264,603.6,250.78,0,0,0,1504.09,555.86,644.51,0,0,-0.708,-79.919,-290.248,57.355,0,0,0,0,20.952,23.426,0,0,-269.142,0.2657319041050323,1,0.7,2869.162891134175,8.474576271186441,23.255813953488374,1.0893246187363834,4988.921,0.3333333333333333,14314021
47,0_1_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.372,0.118,0.268,0.024,0.206,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,208.16,887.4,573.18,225.78,0,0,0,1455.32,527.62,631.01,0,0,-7.866,-50.197,-239.68,55.912,0,0,0,0,19.159,21.979,0,0,-200.693,0.2657319041050323,1,0.7,3013.9837430131547,8.474576271186441,2.6881720430107525,1.0893246187363834,5222.493,0.3333333333333333,15740513
48,0_20_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.039,0.118,0.071,0.024,0.059,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.51,238.55,603.83,250.96,0,0,0,1504.4299999999998,556.09,644.62,0,0,10.626,-71.127,-307.888,62.511,0,0,0,0,20.964,23.431,0,0,-261.483,0.2657319041050323,1,0.7,2872.3860425014927,8.474576271186441,25.641025641025642,1.0893246187363834,4978.084,0.3333333333333333,14298977
49,0_21_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.035,0.118,0.069,0.024,0.057,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.58,216.49,604,251.1,0,0,0,1504.71,556.28,644.71,0,0,10.644,-64.871,-307.985,62.526,0,0,0,0,20.973,23.435,0,0,-255.277,0.2657319041050323,1,0.7,2880.24596681141,8.474576271186441,28.57142857142857,1.0893246187363834,4961.645,0.3333333333333333,14290752
50,0_22_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.032,0.118,0.067,0.024,0.056,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.62,196.84,604.15,251.21,0,0,0,1504.94,556.44,644.79,0,0,10.663,-59.506,-308.066,62.548,0,0,0,0,20.981,23.439,0,0,-249.941,0.2657319041050323,1,0.7,2883.5924329075538,8.474576271186441,31.25,1.0893246187363834,4953.501,0.3333333333333333,14283870
51,0_2_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.193,0.118,0.163,0.024,0.127,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,212.71,479.86,580.55,230.28,0,0,0,1461.39,532.39,633.29,0,0,-6.921,-27.566,-241.401,61.981,0,0,0,0,19.611,22.194,0,0,-172.102,0.2657319041050323,1,0.7,2969.4742163442697,8.474576271186441,5.181347150259067,1.0893246187363834,5067.978,0.3333333333333333,15049223
52,0_3_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.131,0.118,0.125,0.024,0.099,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,214.27,331.04,583.11,231.87,0,0,0,1463.37,533.94,634.03,0,0,3.004,-4.789,-271.757,69.444,0,0,0,0,19.545,22.195,0,0,-162.358,0.2657319041050323,1,0.7,2950.8009703004627,8.474576271186441,7.633587786259541,1.0893246187363834,4995.566,0.3333333333333333,14740920
53,0_4_0_0_0_0_0_admin12,admin12,Business,ahmedabad,651100.0000000003,374014.60000000003,846538.8,687724.3,386630.09,1090565.9650000003,1013045.0999999999,91844.62,88586.45,51130.78,48532.57,,,3049.14,746.57,410761.06,283890.22,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,,,0.118,0.118,0.099,0.118,0.107,0.024,0.085,43311.83,42052.41,8202.72,7521.76,,,1340.92,310.29,0,102739.95,102739.95,0,102739.95,0.918,0.918,0.916,0.916,,,0.927,0.92,0,0.918,0.918,0,0.918,215.06,252.7,584.41,232.67,0,0,0,1464.34,534.7,634.39,0,0,2.606,-0.294,-276.987,70.919,0,0,0,0,19.964,22.633,0,0,-161.16,0.2657319041050323,1,0.7,2937.5477067669776,8.474576271186441,10.1010101010101,1.0893246187363834,4957.368,0.3333333333333333,14562499
