,FileName,ProjectName,ProjectTypology,Location,Floor-Total-Above-Grade(SQFT),Floor-Total-Below-Grade(SQFT),Floor-Total-Conditioned-Grade(SQFT),Floor-Total-UnConditioned-Grade(SQFT),Wall-Total-Above-Grade(SQFT),Power Lighting Total(W),Equipment-Total(W),N-Wall-Area(SQFT),S-Wall-Area(SQFT),E-Wall-Area(SQFT),W-Wall-Area(SQFT),NE-Wall-Area(SQFT),NW-Wall-Area(SQFT),SE-Wall-Area(SQFT),SW-Wall-Area(SQFT),ROOF-AREA(SQFT),ALL WALLS-Wall-AREA(SQFT),WALLS+ROOFS-AREA(SQFT),UNDERGRND-Wall-AREA(SQFT),BUILDING-Wall-AREA(SQFT),N-Wall-U-Value(BTU/HR-SQFT-F),S-Wall-U-Value(BTU/HR-SQFT-F),E-Wall-U-Value(BTU/HR-SQFT-F),W-Wall-U-Value(BTU/HR-SQFT-F),NE-Wall-U-Value(BTU/HR-SQFT-F),NW-Wall-U-Value(BTU/HR-SQFT-F),SE-Wall-U-Value(BTU/HR-SQFT-F),SW-Wall-U-Value(BTU/HR-SQFT-F),ROOF-U-Value(BTU/HR-SQFT-F),ALL WALLS-Wall-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-U-Value(BTU/HR-SQFT-F),UNDERGRND-Wall-U-Value(BTU/HR-SQFT-F),BUILDING-Wall-U-Value(BTU/HR-SQFT-F),N-Window-Area(SQFT),S-Window-Area(SQFT),E-Window-Area(SQFT),W-Window-Area(SQFT),NE-Window-Area(SQFT),NW-Window-Area(SQFT),SE-Window-Area(SQFT),SW-Window-Area(SQFT),ROOF-Window-Area(SQFT),ALL WALLS-Window-AREA(SQFT),WALLS+ROOFS-Window-AREA(SQFT),UNDERGRND-Window-AREA(SQFT),BUILDING-Window-AREA(SQFT),N-Window-U-Value(BTU/HR-SQFT-F),S-Window-U-Value(BTU/HR-SQFT-F),E-Window-U-Value(BTU/HR-SQFT-F),W-Window-U-Value(BTU/HR-SQFT-F),NE-Window-U-Value(BTU/HR-SQFT-F),NW-Window-U-Value(BTU/HR-SQFT-F),SE-Window-U-Value(BTU/HR-SQFT-F),SW-Window-U-Value(BTU/HR-SQFT-F),ROOF-Window-U-Value(BTU/HR-SQFT-F),ALL WALLS-Window-U-Value(BTU/HR-SQFT-F),WALLS+ROOFS-Window-U-Value(BTU/HR-SQFT-F),UNDERGRND-Window-U-Value(BTU/HR-SQFT-F),BUILDING-Window-U-Value(BTU/HR-SQFT-F),WALL CONDUCTION,ROOF CONDUCTION,WINDOW GLASS+FRM COND,WINDOW GLASS SOLAR,DOOR CONDUCTION,INTERNAL SURFACE COND,UNDERGROUND SURF COND,OCCUPANTS TO SPACE,LIGHT TO SPACE,EQUIPMENT TO SPACE,PROCESS TO SPACE,INFILTRATION,WALL CONDUCTION_loss,ROOF CONDUCTION_loss,WINDOW GLASS+FRM COND_loss,WINDOW GLASS SOLAR_loss,DOOR CONDUCTION_loss,INTERNAL SURFACE COND_loss,UNDERGROUND SURF COND_loss,OCCUPANTS TO SPACE_loss,LIGHT TO SPACE_loss,EQUIPMENT TO SPACE_loss,PROCESS TO SPACE_loss,INFILTRATION_loss,TOTAL-LOAD(KW)_loss,Equip(W/Sqft),Light(W/Sqft),WWR,EFLH,R-VAL-W,R-VAL-R,R-VAL-Wind,TOTAL-LOAD(KW),SHGC,Energy_Outcome(KWH),COP
10,0_0_0_0_0_0_4_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1316958.63,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,830.97,0,0,1.156,4.831,-273.016,61.247,0,0,0,0,18.895,27.919,0,0,-158.967,1.3,0.7,0.265731888,2946.777749,8.474576271,19.60784314,1.089324619,5265.542,0.333333333,15516379,6.17
11,0_0_0_0_0_0_5_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1418263.14,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,894.89,0,0,1.168,4.785,-272.752,61.203,0,0,0,0,18.822,29.953,0,0,-156.82,1.4,0.7,0.265731888,2956.755682,8.474576271,19.60784314,1.089324619,5382.58,0.333333333,15914972,6.17
12,0_0_0_0_0_0_6_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1519567.65,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,958.81,0,0,1.181,4.74,-272.49,61.16,0,0,0,0,18.75,31.971,0,0,-154.689,1.5,0.7,0.265731888,2966.897948,8.474576271,19.60784314,1.089324619,5498.632,0.333333333,16313877,6.17
13,0_0_0_0_0_0_7_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1620872.16,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,1022.73,0,0,1.181,4.74,-272.49,61.16,0,0,0,0,18.75,34.102,0,0,-152.557,1.6,0.7,0.265731888,2974.343831,8.474576271,19.60784314,1.089324619,5619.623,0.333333333,16714685,6.17
14,0_0_0_0_0_0_8_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1722176.67,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,1086.65,0,0,1.195,4.378,-269.658,60.383,0,0,0,0,18.166,35.105,0,0,-150.431,1.7,0.7,0.265731888,2982.61053,8.474576271,19.60784314,1.089324619,5739.853,0.333333333,17119744,6.17
15,0_0_0_0_0_0_9_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1823481.18,91635.6,90765.97,48532.57,51130.77,746.57,,1078.67,,410761.06,283890.12,694651.25,239605.23,934256.12,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,43393.32,42788.13,7521.76,8202.73,310.29,,523.7,,0,102739.92,102739.92,0,102739.92,0.918,0.917,0.916,0.916,0.92,,0.94,,0,0.918,0.918,0,0.918,210.65,126.75,592.99,238.28,0,0,0,1481.11,544.77,1150.57,0,0,1.195,4.378,-269.658,60.383,0,0,0,0,18.166,37.17,0,0,-148.366,1.8,0.7,0.265731888,2989.386937,8.474576271,19.60784314,1.089324619,5862.398,0.333333333,17524965,6.17
16,0_0_0_0_0_1_0_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,121514.29,120188.02,50443.96,53394.92,951.12,,1441.99,,410761.06,347934.16,758695.5,239605.23,998300.38,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.082,0.024,0.068,13514.6,13366.08,5610.37,5938.59,105.74,,160.38,,0,38695.75,38695.75,0,38695.75,0.883,0.883,0.883,0.883,0.883,,0.883,,0,0.883,0.883,0,0.883,261.64,128.68,199.76,99.91,0,0,0,1490.5,551.61,642.61,0,0,-24.682,0.939,-51.853,7.346,0,0,0,0,11.295,12.631,0,0,-44.324,1,0.7,0.100084706,2903.388824,8.474576271,19.60784314,1.132502831,4803.761,0.333333333,13947179,6.17
17,0_0_0_0_0_2_0_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,108025.6,106844.46,44842.59,47465.89,845.46,,1281.76,,410761.06,309305.69,720066.88,239605.23,959671.75,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.08,0.024,0.066,27003.3,26709.61,11211.73,11867.6,211.4,,320.61,,0,77324.26,77324.26,0,77324.26,0.883,0.883,0.883,0.883,0.883,,0.883,,0,0.883,0.883,0,0.883,230.18,127.58,395.92,196.97,0,0,0,1485.04,547.45,640.57,0,0,-10.249,1.218,-171.119,40.044,0,0,0,0,19.542,20.358,0,0,-100.207,1,0.7,0.1999955,2939.928666,8.474576271,19.60784314,1.132502831,4811.746,0.333333333,14146187,6.17
18,0_0_0_0_0_3_0_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,94501.34,93469.81,39230.75,41525.87,739.78,,1120.54,,410761.06,270588.34,681349.38,239605.23,920954.25,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.078,0.024,0.064,40527.58,40084.28,16823.56,17807.62,317.08,,481.83,,0,116042.02,116042.02,0,116042.02,0.883,0.883,0.883,0.883,0.883,,0.883,,0,0.883,0.883,0,0.883,199.29,126.49,589.32,291.61,0,0,0,1479.64,543.34,638.55,0,0,3.271,7.125,-306.379,75.267,0,0,0,0,22.61,23.914,0,0,-174.192,1,0.7,0.300137134,2915.6311,8.474576271,19.60784314,1.132502831,4915.342,0.333333333,14331321,6.17
19,0_0_0_0_0_4_0_Rajeev1,Rajeev1,Business,ahmedabad,651100,374014.6,846538.8,687724.3,386630,1090565.965,1013045.1,81040.02,80153.05,33642.84,35611.15,634.27,,961.64,,410761.06,232043.12,642804.12,239605.23,882409,0.118,0.118,0.118,0.118,0.118,,0.118,,0.051,0.118,0.075,0.024,0.061,53988.88,53401.02,22411.48,23722.36,422.59,,640.73,,0,154586.81,154586.81,0,154586.81,0.883,0.883,0.883,0.883,0.883,,0.883,,0,0.883,0.883,0,0.883,169.16,125.43,778.76,383.28,0,0,0,1474.33,539.29,636.56,0,0,11.763,10.012,-428.37,106.31,0,0,0,0,22.595,24.044,0,0,-253.647,1,0.7,0.399831389,2903.867787,8.474576271,19.60784314,1.132502831,4995.88,0.333333333,14507374,6.17
